Al_concentration,OH_concentration,Al_ppm,counter_ion,temperature
0.005,1,80.45,Na+,25
0.005,5,80.4,Na+,25
0.005,7,79.59,Na+,25
0.005,11,78.13,Na+,25
0.005,13,76.93,Na+,25
0.005,17,73.64,Na+,25
0.005,19,71.8,Na+,25
0.05,2.35,80.23,Na+,25
0.05,4.02,80.07,Na+,25
0.05,8.1,79.24,Na+,25
0.05,9.8,78.67,Na+,25
0.05,9.12,78.96,Na+,25
0.05,11.16,78.11,Na+,25
0.05,11.84,77.8,Na+,25
0.05,13.17,77.03,Na+,25
0.05,13.88,76.67,Na+,25
0.05,14.86,76.06,Na+,25
0.05,15.92,75.12,Na+,25
0.05,16.92,74.36,Na+,25
0.1,1.58,80.31,Na+,25
0.1,3.02,80.21,Na+,25
0.1,4.56,80.07,Na+,25
0.1,6.06,79.76,Na+,25
0.1,8.91,78.98,Na+,25
0.1,7.55,79.43,Na+,25
0.1,10.68,78.37,Na+,25
0.1,13.61,76.77,Na+,25
0.1,15.05,75.73,Na+,25
0.1,16.86,74.2,Na+,25
0.1,17.84,73.05,Na+,25
0.396,1.52,80.21,Na+,25
0.396,3.02,80.12,Na+,25
0.396,4.45,79.93,Na+,25
0.396,7.51,79.41,Na+,25
0.396,8.95,79.15,Na+,25
0.396,10.45,78.74,Na+,25
0.396,11.19,78.32,Na+,25
0.396,13.53,77.73,Na+,25
0.396,15.07,76.86,Na+,25
0.396,16.46,76.57,Na+,25
0.396,18.02,74.57,Na+,25
0.8,1.5,80.33,Na+,25
0.8,4.5,80.14,Na+,25
0.8,7.53,79.55,Na+,25
0.8,9.01,79.47,Na+,25
0.8,10.49,79.17,Na+,25
0.8,12.07,78.84,Na+,25
0.8,13.53,79,Na+,25
0.8,15.17,78.67,Na+,25
0.8,16.75,78.1,Na+,25
1.2,3.02,80.28,Na+,25
1.2,4.81,79.93,Na+,25
1.2,5.99,79.88,Na+,25
1.2,7.53,79.88,Na+,25
1.2,8.95,80.13,Na+,25
1.2,10.51,80.27,Na+,25
1.2,11.99,79.56,Na+,25
1.2,12.59,79.71,Na+,25
1.2,13.53,79.96,Na+,25
1.2,15.03,79.68,Na+,25
1.2,16.57,79.44,Na+,25
2,3.02,80.21,Na+,25
2,4.64,80.14,Na+,25
2,5.99,80.02,Na+,25
2,7.39,79.83,Na+,25
2,8.78,80.02,Na+,25
2,10.43,79.83,Na+,25
2,11.78,79.49,Na+,25
2,13.3,79.52,Na+,25
2,14.55,79.61,Na+,25
3,4.79,79.95,Na+,25
3,5.97,79.88,Na+,25
3,7.55,79.9,Na+,25
3,8.95,80.13,Na+,25
3,10.51,80.3,Na+,25
3,11.99,79.56,Na+,25
3,12.59,79.71,Na+,25
