dist (nm),theory: Energy/area Kt/nm^2,Program: Energy/area Kt/nm^2
1,-158.140117862923,1.91E-02
2,-9.88387097186566,7.85E-03
3,-1.95572427289887,4.21E-03
4,-0.628293829456926,2.00E-03
5,-0.268234181504259,6.78E-04
6,-0.137662527508652,-2.68E-05
7,-7.95E-02,-3.80E-04
8,-4.94E-02,-5.48E-04
9,-3.23E-02,-6.20E-04
10,-2.18E-02,-6.42E-04
11,-1.50E-02,-6.38E-04
12,-1.06E-02,-6.20E-04
13,-7.57E-03,-5.95E-04
14,-5.47E-03,-5.67E-04
15,-4.00E-03,-5.37E-04
16,-2.95E-03,-5.08E-04
17,-2.19E-03,-4.79E-04
18,-1.64E-03,-4.52E-04
19,-1.24E-03,-4.25E-04
20,-9.36E-04,-4.01E-04
21,-7.13E-04,-3.77E-04
22,-5.45E-04,-3.55E-04
23,-4.18E-04,-3.35E-04
24,-3.23E-04,-3.16E-04
25,-2.49E-04,-2.97E-04
26,-1.94E-04,-2.81E-04
27,-1.51E-04,-2.65E-04
28,-1.18E-04,-2.50E-04
29,-9.19E-05,-2.36E-04
30,-7.21E-05,-2.23E-04
31,-5.67E-05,-2.11E-04
32,-4.46E-05,-1.99E-04
33,-3.52E-05,-1.88E-04
34,-2.78E-05,-1.78E-04
35,-2.20E-05,-1.69E-04
36,-1.75E-05,-1.60E-04
37,-1.39E-05,-1.52E-04
38,-1.11E-05,-1.44E-04
39,-8.81E-06,-1.36E-04
40,-7.03E-06,-1.29E-04
41,-5.61E-06,-1.23E-04
42,-4.49E-06,-1.17E-04
43,-3.59E-06,-1.11E-04
44,-2.88E-06,-1.05E-04
45,-2.31E-06,-1.00E-04
46,-1.86E-06,-9.54E-05
47,-1.49E-06,-9.08E-05
48,-1.20E-06,-8.64E-05
49,-9.67E-07,-8.23E-05
50,-7.79E-07,-7.84E-05
51,-6.28E-07,-7.47E-05
52,-5.07E-07,-7.13E-05
53,-4.10E-07,-6.80E-05
54,-3.31E-07,-6.49E-05
55,-2.68E-07,-6.19E-05
56,-2.17E-07,-5.91E-05
57,-1.76E-07,-5.64E-05
58,-1.42E-07,-5.39E-05
59,-1.16E-07,-5.15E-05
60,-9.37E-08,-4.93E-05
61,-7.61E-08,-4.71E-05
62,-6.18E-08,-4.51E-05
63,-5.03E-08,-4.31E-05
64,-4.09E-08,-4.13E-05
65,-3.32E-08,-3.96E-05
66,-2.71E-08,-3.79E-05
67,-2.20E-08,-3.63E-05
68,-1.80E-08,-3.48E-05
69,-1.46E-08,-3.34E-05
70,-1.19E-08,-3.20E-05
71,-9.73E-09,-3.07E-05
72,-7.94E-09,-2.95E-05
73,-6.48E-09,-2.83E-05
74,-5.30E-09,-2.72E-05
75,-4.33E-09,-2.61E-05
76,-3.54E-09,-2.51E-05
77,-2.89E-09,-2.41E-05
78,-2.36E-09,-2.31E-05
79,-1.93E-09,-2.23E-05
80,-1.58E-09,-2.14E-05
81,-1.30E-09,-2.06E-05
82,-1.06E-09,-1.98E-05
83,-8.69E-10,-1.91E-05
84,-7.12E-10,-1.84E-05
85,-5.84E-10,-1.77E-05
86,-4.78E-10,-1.70E-05
87,-3.92E-10,-1.64E-05
88,-3.22E-10,-1.58E-05
89,-2.64E-10,-1.53E-05
90,-2.17E-10,-1.47E-05
91,-1.78E-10,-1.42E-05
92,-1.46E-10,-1.37E-05
93,-1.20E-10,-1.32E-05
94,-9.85E-11,-1.28E-05
95,-8.09E-11,-1.23E-05
96,-6.65E-11,-1.19E-05
97,-5.47E-11,-1.15E-05
98,-4.50E-11,-1.11E-05
99,-3.70E-11,-1.07E-05
100,-3.04E-11,-1.04E-05
